model,changepoint_prior_scale,daily_seasonality,seasonality_mode,seasonality_prior_scale,use_lagged_regressors,weekly_seasonality,yearly_seasonality,mae,rmse,hit_rate,dm_stat,dm_pvalue,sharpe,sortino,max_drawdown,profit_factor,win_rate,payoff_ratio,n_test_points,n_trades
PROPHET,0.01,False,additive,0.1,True,True,False,0.010635,0.015439,56.862745,2.978711,0.002895,-0.047564,-0.040468,-0.05544,0.988928,56.862745,0.750221,60,51
PROPHET,0.05,False,additive,0.1,True,True,False,0.01067,0.015468,55.769231,2.998575,0.002712,-0.109037,-0.094597,-0.05544,0.974966,55.769231,0.773249,60,52
PROPHET,0.1,False,additive,0.1,True,True,False,0.010662,0.015476,55.769231,3.00326,0.002671,-0.109037,-0.094597,-0.05544,0.974966,55.769231,0.773249,60,52
PROPHET,0.01,False,additive,1.0,True,True,False,0.010713,0.015515,58.823529,3.02029,0.002525,0.203526,0.169283,-0.05544,1.04875,58.823529,0.734125,60,51
PROPHET,0.01,False,additive,10.0,True,True,False,0.010715,0.015516,58.0,3.021145,0.002518,0.072399,0.060096,-0.05544,1.017306,58.0,0.73667,60,50
PROPHET,0.05,False,additive,1.0,True,True,False,0.010742,0.015535,56.862745,3.033875,0.002414,0.010765,0.00912,-0.05544,1.002537,56.862745,0.760545,60,51
PROPHET,0.1,False,additive,10.0,True,True,False,0.010743,0.015536,56.862745,3.033126,0.00242,0.010765,0.00912,-0.05544,1.002537,56.862745,0.760545,60,51
PROPHET,0.1,False,additive,1.0,True,True,False,0.010744,0.015536,56.862745,3.033598,0.002417,0.010765,0.00912,-0.05544,1.002537,56.862745,0.760545,60,51
PROPHET,0.05,False,additive,10.0,True,True,False,0.010743,0.015536,56.862745,3.034562,0.002409,0.010765,0.00912,-0.05544,1.002537,56.862745,0.760545,60,51
PROPHET,0.01,False,multiplicative,0.1,True,True,False,0.011961,0.01633,62.5,3.413314,0.000642,1.783677,1.335231,-0.05544,1.597168,62.5,0.958301,60,48
PROPHET,0.01,False,multiplicative,1.0,True,True,False,0.011777,0.0167,63.829787,3.452228,0.000556,1.56516,1.097328,-0.05544,1.535792,63.829787,0.870282,60,47
PROPHET,0.1,False,multiplicative,0.1,True,True,False,0.012159,0.016831,60.344828,3.662177,0.00025,1.088219,0.930253,-0.05544,1.279896,60.344828,0.841074,60,58
PROPHET,0.01,False,multiplicative,10.0,True,True,False,0.012305,0.016856,58.333333,3.663351,0.000249,0.333424,0.261631,-0.05544,1.088794,58.333333,0.77771,60,48
PROPHET,0.05,False,multiplicative,0.1,True,True,False,0.012227,0.017012,60.714286,3.702947,0.000213,1.167773,0.97204,-0.05544,1.31114,60.714286,0.848385,60,56
PROPHET,0.1,False,multiplicative,10.0,True,True,False,0.012726,0.017286,62.5,3.912447,9.1e-05,1.400328,1.151582,-0.05544,1.378825,62.5,0.827295,60,56
PROPHET,0.1,False,multiplicative,1.0,True,True,False,0.012335,0.017292,60.714286,3.766748,0.000165,1.232792,1.035185,-0.05544,1.328424,60.714286,0.859569,60,56
PROPHET,0.05,False,multiplicative,10.0,True,True,False,0.013038,0.017582,58.62069,3.90788,9.3e-05,0.677787,0.591786,-0.05544,1.165852,58.62069,0.822954,60,58
PROPHET,0.05,False,multiplicative,1.0,True,True,False,0.013222,0.017695,60.714286,4.091976,4.3e-05,1.479921,1.233713,-0.05544,1.41388,60.714286,0.914864,60,56
